Место,Название,Город/Регион,Сайт,Социальные сети
1,ГК Самолет,Не указан,Не найден,Не найдены
2,ПИК,Не указан,Не найден,Не найдены
3,ГК ТОЧНО,Не указан,Не найден,Не найдены
4,DOGMA,Не указан,Не найден,Не найдены
5,ГК ФСК,Не указан,Не найден,Не найдены
6,Группа ЛСР,Не указан,Не найден,Не найдены
7,Брусника,Не указан,Не найден,Не найдены
8,ГК ССК,Не указан,Не найден,Не найдены
9,ГК ЮгСтройИнвест,Не указан,Не найден,Не найдены
10,Холдинг Setl Group,Не указан,Не найден,Не найдены
11,ГК Страна Девелопмент,Не указан,Не найден,Не найдены
12,Группа Эталон,Не указан,Не найден,Не найдены
13,ГК А101,Не указан,Не найден,Не найдены
14,MR Group,Не указан,Не найден,Не найдены
15,ГК Гранель,Не указан,Не найден,Не найдены
16,ДОНСТРОЙ,Не указан,Не найден,Не найдены
17,Талан,Не указан,Не найден,Не найдены
18,Level Group,Не указан,Не найден,Не найдены
19,ГК Развитие,Не указан,Не найден,Не найдены
20,ГК Расцветай,Не указан,Не найден,Не найдены
21,ГК ЭНКО,Не указан,Не найден,Не найдены
22,ГК Glorax,Не указан,Не найден,Не найдены
23,Группа Аквилон,Не указан,Не найден,Не найдены
24,ГК НВМ,Не указан,Не найден,Не найдены
25,ГК АБСОЛЮТ,Не указан,Не найден,Не найдены
26,TEN Девелопмент,Не указан,Не найден,Не найдены
27,ГК Новый ДОН,Не указан,Не найден,Не найдены
28,Унистрой,Не указан,Не найден,Не найдены
29,ГК АльфаСтройИнвест,Не указан,Не найден,Не найдены
30,Seven Suns Development,Не указан,Не найден,Не найдены
31,ГК Единство,Не указан,Не найден,Не найдены
32,КОМОССТРОЙ®,Не указан,Не найден,Не найдены
33,Sminex,Не указан,Не найден,Не найдены
34,ДСК,Не указан,Не найден,Не найдены
35,ГК КВС,Не указан,Не найден,Не найдены
36,ГК КОРТРОС,Не указан,Не найден,Не найдены
37,Суварстроит,Не указан,Не найден,Не найдены
38,ГК Первый Трест,Не указан,Не найден,Не найдены
39,РАЗУМ,Не указан,Не найден,Не найдены
40,СК 10,Не указан,Не найден,Не найдены
