Место,Название,Город/Регион,Сайт,Социальные сети
1,ГК Самолет,Москва,Не найден,Не найдены
2,ПИК,Москва,Не найден,Не найдены
3,ГК ТОЧНО,Краснодарский край,Не найден,Не найдены
4,DOGMA,Краснодарский край,Не найден,Не найдены
5,ГК ФСК,Москва,Не найден,Не найдены
6,Группа ЛСР,Санкт-Петербург,Не найден,Не найдены
7,Брусника,Свердловская область,Не найден,Не найдены
8,ГК ССК,Краснодарский край,Не найден,Не найдены
9,ГК ЮгСтройИнвест,Ставропольский край,Не найден,Не найдены
10,Холдинг Setl Group,Санкт-Петербург,Не найден,Не найдены
11,ГК Страна Девелопмент,Тюменская область,Не найден,Не найдены
12,Группа Эталон,Москва,Не найден,Не найдены
13,ГК А101,Москва,Не найден,Не найдены
14,MR Group,Москва,Не найден,Не найдены
15,ГК Гранель,Москва,Не найден,Не найдены
16,ДОНСТРОЙ,Москва,Не найден,Не найдены
17,Талан,Удмуртская Республика,Не найден,Не найдены
18,Level Group,Москва,Не найден,Не найдены
19,ГК Развитие,Воронежская область,Не найден,Не найдены
20,ГК Расцветай,Новосибирская область,Не найден,Не найдены
