Место,Название,Город/Регион,Сайт,Социальные сети
1,ГК Самолет,г.Москва,https://samolet.ru/,https://vk.com/samoletgroup; https://t.me/samoletgroup
2,ПИК,г.Москва,https://pik.ru/,https://vk.com/pik_group; https://t.me/pik_official
3,ГК ТОЧНО,Краснодарский край,https://tochno.group/,https://vk.com/tochno_group; https://t.me/tochno_group
4,DOGMA,Краснодарский край,https://dogma.group/,https://vk.com/dogma_group; https://instagram.com/dogma.group
5,ГК ФСК,г.Москва,https://fsk.ru/,https://vk.com/fsk_group; https://t.me/fsk_group
6,Группа ЛСР,г.Санкт-Петербург,https://lsrgroup.ru/,https://vk.com/lsrgroup; https://t.me/lsrgroup
7,Брусника,Свердловская область,https://brusnika.ru/,https://vk.com/brusnika_ural; https://t.me/brusnika_official
8,ГК ССК,Краснодарский край,https://ssk-group.ru/,https://vk.com/ssk_group; https://instagram.com/ssk_group
9,ГК ЮгСтройИнвест,Ставропольский край,https://ugstroy.ru/,https://vk.com/ugstroyinvest; https://ok.ru/ugstroyinvest
10,Холдинг Setl Group,г.Санкт-Петербург,https://setlgroup.ru/,https://vk.com/setlgroup; https://t.me/setlgroup
11,ГК Страна Девелопмент,Тюменская область,https://strana-development.ru/,https://vk.com/strana_development; https://t.me/strana_dev
12,Группа Эталон,г.Москва,https://etalon-group.ru/,https://vk.com/etalon_group; https://instagram.com/etalon_group
13,ГК А101,г.Москва,https://a101.ru/,https://vk.com/a101group; https://t.me/a101group
14,MR Group,г.Москва,https://mr-group.ru/,https://vk.com/mrgroup_official; https://instagram.com/mr_group_official
15,ГК Гранель,г.Москва,https://granel.ru/,https://vk.com/granel_group; https://t.me/granel_official
16,ДОНСТРОЙ,г.Москва,https://donstroy.com/,https://vk.com/donstroy_official; https://instagram.com/donstroy_official
17,Талан,Удмуртская Республика,https://talan-group.ru/,https://vk.com/talan_group; https://ok.ru/talan.group
18,Level Group,г.Москва,https://level-group.ru/,https://vk.com/levelgroup; https://t.me/levelgroup_official
19,ГК Развитие,Воронежская область,https://razvitie.info/,https://vk.com/razvitie_group; https://ok.ru/razvitie.group
20,ГК Расцветай,Новосибирская область,https://rascvetay.ru/,https://vk.com/rascvetay; https://instagram.com/rascvetay_nsk
