Место,Название,Город/Регион,Сайт,Социальные сети
1,ГК Самолет,г.Москва,https://samolet.ru/,Найдено 1 соцсетей
2,ПИК,г.Москва,https://pik.ru/,Найдено 2 соцсетей
3,ГК ТОЧНО,Краснодарский край,https://tochno.life/,Найдено 2 соцсетей
4,DOGMA,Краснодарский край,https://1dogma.ru/,Найдено 1 соцсетей
5,ГК ФСК,г.Москва,https://fsk.ru/,Найдено 1 соцсетей
6,Группа ЛСР,г.Санкт-Петербург,https://lsrgroup.ru/,Найдено 2 соцсетей
7,Брусника,Свердловская область,https://brusnika.ru/,Найдено 1 соцсетей
8,ГК ССК,Краснодарский край,https://sskuban.ru/,Найдено 2 соцсетей
9,ГК ЮгСтройИнвест,Ставропольский край,https://gk-usi.ru/,Найдено 2 соцсетей
10,Холдинг Setl Group,г.Санкт-Петербург,https://setlgroup.ru/,Найдено 1 соцсетей
11,ГК Страна Девелопмент,Тюменская область,https://strana.com/,Найдено 1 соцсетей
12,Группа Эталон,г.Москва,https://etalongroup.ru/,Найдено 1 соцсетей
13,ГК А101,г.Москва,https://a101.ru/,Найдено 1 соцсетей
14,MR Group,г.Москва,https://mr-group.ru/,Найдено 1 соцсетей
15,ГК Гранель,г.Москва,https://granelle.ru/,Найдено 1 соцсетей
16,ДОНСТРОЙ,г.Москва,https://donstroy.moscow/,Найдено 1 соцсетей
17,Талан,Удмуртская Республика,https://xn--80aa6ajv.xn--p1ai/,Найдено 2 соцсетей
18,Level Group,г.Москва,https://level.ru/,Найдено 1 соцсетей
19,ГК Развитие,Воронежская область,https://rzv.ru/,Найдено 1 соцсетей
20,ГК Расцветай,Новосибирская область,https://xn--80aafcmzc2ckm5b.xn--p1ai/,Не найдены
21,ГК ЭНКО,Тюменская область,https://enco72.ru/,Найдено 2 соцсетей
22,ГК Glorax,г.Санкт-Петербург,https://glorax.com/,Найдено 1 соцсетей
23,Группа Аквилон,Архангельская область,https://group-akvilon.ru/,Найдено 1 соцсетей
24,ГК НВМ,г.Москва,https://gk-nvm.ru/,Не найдены
25,ГК АБСОЛЮТ,г.Москва,https://absrealty.ru/,Не найдены
26,TEN Девелопмент,г.Москва,https://ten-stroy.ru/,Найдено 1 соцсетей
27,ГК Новый ДОН,Ростовская область,https://newdon.ru/,Найдено 1 соцсетей
28,Унистрой,Краснодарский край,https://unistroyrf.ru/,Найдено 1 соцсетей
29,ГК АльфаСтройИнвест,г.Москва,https://alfastroyinvest.com/,Найдено 2 соцсетей
30,Seven Suns Development,г.Москва,https://sevensuns.ru/,Найдено 1 соцсетей
31,ГК Единство,Рязанская область,https://edinstvo62.ru/,Найдено 2 соцсетей
32,КОМОССТРОЙ®,Пермский край,https://komos-stroy.ru/,Найдено 1 соцсетей
33,Sminex,г.Москва,https://sminex.com/,Найдено 1 соцсетей
34,ДСК,Воронежская область,https://dsk.vrn.ru/,Найдено 2 соцсетей
35,ГК КВС,г.Санкт-Петербург,https://kvsspb.ru/,Найдено 1 соцсетей
36,ГК КОРТРОС,Екатеринбург,https://kortros.ru/,Найдено 1 соцсетей
37,Суварстроит,Чувашская Республика,https://suvarstroit.ru/,Найдено 1 соцсетей
38,ГК Первый Трест,г.Санкт-Петербург,https://1trest.ru/,Найдено 2 соцсетей
39,РАЗУМ,г.Москва,https://razum.life/,Найдено 1 соцсетей
40,СК 10,г.Москва,https://sk10.ru/,Найдено 2 соцсетей
