Место,Название,Город/Регион,Сайт,Социальные сети
1,ГК Самолет,г.Москва,https://samolet.ru/,"VK, Telegram"
2,ПИК,г.Москва,https://pik.ru/,"VK, Instagram"
3,ГК ТОЧНО,Краснодарский край,https://tochno.life/,"VK, Instagram"
4,DOGMA,Краснодарский край,https://1dogma.ru/,VK
5,ГК ФСК,г.Москва,https://fsk.ru/,VK
6,Группа ЛСР,г.Санкт-Петербург,https://lsrgroup.ru/,"VK, Instagram"
7,Брусника,Свердловская область,https://brusnika.ru/,VK
8,ГК ССК,Краснодарский край,https://sskuban.ru/,"VK, Instagram"
9,ГК ЮгСтройИнвест,Ставропольский край,https://gk-usi.ru/,"VK, OK"
10,Холдинг Setl Group,г.Санкт-Петербург,https://setlgroup.ru/,VK
11,ГК Страна Девелопмент,Тюменская область,https://strana.com/,VK
12,Группа Эталон,г.Москва,https://etalongroup.ru/,VK
13,ГК А101,г.Москва,https://a101.ru/,VK
14,MR Group,г.Москва,https://mr-group.ru/,VK
15,ГК Гранель,г.Москва,https://granelle.ru/,VK
16,ДОНСТРОЙ,г.Москва,https://donstroy.moscow/,VK
17,Талан,Удмуртская Республика,https://талан.рф/,"VK, OK"
18,Level Group,г.Москва,https://level.ru/,VK
19,ГК Развитие,Воронежская область,https://rzv.ru/,VK
20,ГК Расцветай,Новосибирская область,https://расцветай.рф/,VK
21,ГК ЭНКО,Тюменская область,https://enco72.ru/,"VK, Instagram"
22,ГК Glorax,г.Санкт-Петербург,https://glorax.com/,VK
23,Группа Аквилон,Архангельская область,https://group-akvilon.ru/,VK
24,ГК НВМ,г.Москва,https://gk-nvm.ru/,VK
25,ГК АБСОЛЮТ,г.Москва,https://absrealty.ru/,VK
26,TEN Девелопмент,г.Москва,https://ten-stroy.ru/,VK
27,ГК Новый ДОН,Ростовская область,https://newdon.ru/,VK
28,Унистрой,Краснодарский край,https://unistroyrf.ru/,VK
29,ГК АльфаСтройИнвест,г.Москва,https://alfastroyinvest.com/,"VK, Instagram"
30,Seven Suns Development,г.Москва,https://sevensuns.ru/,VK
31,ГК Единство,Рязанская область,https://edinstvo62.ru/,"VK, Instagram"
32,КОМОССТРОЙ®,Пермский край,https://komos-stroy.ru/,VK
33,Sminex,г.Москва,https://sminex.com/,VK
34,ДСК,Воронежская область,https://dsk.vrn.ru/,"VK, Instagram"
35,ГК КВС,г.Санкт-Петербург,https://kvsspb.ru/,VK
36,ГК КОРТРОС,Свердловская область,https://kortros.ru/,VK
37,Суварстроит,Чувашская Республика,https://suvarstroit.ru/,VK
38,ГК Первый Трест,г.Санкт-Петербург,https://1trest.ru/,"VK, Instagram"
39,РАЗУМ,г.Москва,https://razum.life/,VK
40,СК 10,г.Москва,https://sk10.ru/,"VK, Instagram"
