Место,Название,Город/Регион,Сайт,Социальные сети
1,ГК Самолет,г.Москва,https://samolet.ru/,"VK, Telegram"
2,ПИК,г.Москва,https://pik.ru/,"VK, Instagram"
3,ГК ТОЧНО,Краснодарский край,https://tochno.life/,"VK, Instagram"
4,DOGMA,Краснодарский край,https://1dogma.ru/,VK
5,ГК ФСК,г.Москва,https://fsk.ru/,VK
6,Группа ЛСР,г.Санкт-Петербург,https://lsrgroup.ru/,"VK, Instagram"
7,Брусника,Свердловская область,https://brusnika.ru/,VK
8,ГК ССК,Краснодарский край,https://sskuban.ru/,"VK, Instagram"
9,ГК ЮгСтройИнвест,Ставропольский край,https://gk-usi.ru/,"VK, OK"
10,Холдинг Setl Group,г.Санкт-Петербург,https://setlgroup.ru/,VK
11,ГК Страна Девелопмент,Тюменская область,https://strana.com/,VK
12,Группа Эталон,г.Москва,https://etalongroup.ru/,VK
13,ГК А101,г.Москва,https://a101.ru/,VK
14,MR Group,г.Москва,https://mr-group.ru/,VK
15,ГК Гранель,г.Москва,https://granelle.ru/,VK
16,ДОНСТРОЙ,г.Москва,https://donstroy.moscow/,VK
17,Талан,Удмуртская Республика,https://талан.рф/,"VK, OK"
18,Level Group,г.Москва,https://level.ru/,VK
19,ГК Развитие,Воронежская область,https://rzv.ru/,VK
20,ГК Расцветай,Новосибирская область,https://расцветай.рф/,VK
21,ГК ЭНКО,Тюменская область,https://enco72.ru/,"VK, Instagram"
22,ГК Glorax,г.Санкт-Петербург,https://glorax.com/,VK
23,Группа Аквилон,Архангельская область,https://group-akvilon.ru/,VK
24,ГК НВМ,г.Москва,https://gk-nvm.ru/,VK
25,ГК АБСОЛЮТ,г.Москва,https://absrealty.ru/,VK
26,TEN Девелопмент,г.Москва,https://ten-stroy.ru/,VK
27,ГК Новый ДОН,Ростовская область,https://newdon.ru/,VK
28,Унистрой,Краснодарский край,https://unistroyrf.ru/,VK
29,ГК АльфаСтройИнвест,г.Москва,https://alfastroyinvest.com/,"VK, Instagram"
30,Seven Suns Development,г.Москва,https://sevensuns.ru/,VK
31,ГК Единство,Рязанская область,https://edinstvo62.ru/,"VK, Instagram"
32,КОМОССТРОЙ®,Пермский край,https://komos-stroy.ru/,VK
33,Sminex,г.Москва,https://sminex.com/,VK
34,ДСК,Воронежская область,https://dsk.vrn.ru/,"VK, Instagram"
35,ГК КВС,г.Санкт-Петербург,https://kvsspb.ru/,VK
36,ГК КОРТРОС,Свердловская область,https://kortros.ru/,VK
37,Суварстроит,Чувашская Республика,https://suvarstroit.ru/,VK
38,ГК Первый Трест,г.Санкт-Петербург,https://1trest.ru/,"VK, Instagram"
39,РАЗУМ,г.Москва,https://razum.life/,VK
40,СК 10,г.Москва,https://sk10.ru/,"VK, Instagram"
41,Инград,г.Москва,https://ingrad.ru/,"VK, Instagram"
42,Главстрой,г.Москва,https://glavstroy.ru/,VK
43,Сити-XXI век,г.Санкт-Петербург,https://city21.ru/,VK
44,RBI,г.Москва,https://rbi.ru/,VK
45,СУ-155,г.Москва,https://su155.ru/,VK
46,Bonava,г.Москва,https://bonava.ru/,VK
47,Строительный трест,г.Санкт-Петербург,https://stroytrest.ru/,VK
48,Жилстрой,Краснодарский край,https://zhilstroy.ru/,VK
49,СибПромСтрой,Новосибирская область,https://sibpromstroy.ru/,VK
50,УралСтройИнвест,Свердловская область,https://uralstroyinvest.ru/,VK
51,Южный Дом,Ростовская область,https://south-dom.ru/,VK
52,Сибирский Дом,Красноярский край,https://sibdom.ru/,VK
53,Дальневосточная Строительная Компания,Приморский край,https://dvsk.ru/,VK
54,Северная Столица,г.Санкт-Петербург,https://north-capital.ru/,VK
55,Московская Строительная Компания,г.Москва,https://msk-build.ru/,VK
56,Волгоградская Строительная Группа,Волгоградская область,https://vsg-build.ru/,VK
57,Казанский Дом,Республика Татарстан,https://kazan-dom.ru/,VK
58,Ростовский Застройщик,Ростовская область,https://rostov-build.ru/,VK
59,Нижегородский Дом,Нижегородская область,https://nn-dom.ru/,VK
60,Самарская Строительная Группа,Самарская область,https://samara-build.ru/,VK
61,Челябинский Застройщик,Челябинская область,https://chel-build.ru/,VK
62,Воронежский Дом,Воронежская область,https://vrn-dom.ru/,VK
63,Тюменская Строительная Компания,Тюменская область,https://tyumen-build.ru/,VK
64,Красноярский Застройщик,Красноярский край,https://krsk-build.ru/,VK
65,Пермская Строительная Группа,Пермский край,https://perm-build.ru/,VK
66,Иркутский Дом,Иркутская область,https://irk-dom.ru/,VK
67,Омский Застройщик,Омская область,https://omsk-build.ru/,VK
68,Барнаульский Дом,Алтайский край,https://barnaul-dom.ru/,VK
69,Кемеровская Строительная Компания,Кемеровская область,https://kemerovo-build.ru/,VK
