Место,Название,Город/Регион,Сайт,Социальные сети
1,ГК Самолет,г.Москва,https://samolet.ru/,https://vk.com/samoletgroup; https://t.me/samoletgroup
2,ПИК,г.Москва,https://pik.ru/,https://vk.com/pik_group; https://t.me/pik_official
3,ГК ТОЧНО,Краснодарский край,https://tochno.group/,https://vk.com/tochno_group; https://t.me/tochno_group
4,DOGMA,Краснодарский край,https://dogma.group/,https://vk.com/dogma_group; https://instagram.com/dogma.group
5,ГК ФСК,г.Москва,https://fsk.ru/,https://vk.com/fsk_group; https://t.me/fsk_group
6,Группа ЛСР,г.Санкт-Петербург,https://lsrgroup.ru/,https://vk.com/lsrgroup; https://t.me/lsrgroup
7,Брусника,Свердловская область,https://brusnika.ru/,https://vk.com/brusnika_ural; https://t.me/brusnika_official
8,ГК ССК,Краснодарский край,https://ssk-group.ru/,https://vk.com/ssk_group; https://instagram.com/ssk_group
9,ГК ЮгСтройИнвест,Ставропольский край,https://ugstroy.ru/,https://vk.com/ugstroyinvest; https://ok.ru/ugstroyinvest
10,Холдинг Setl Group,г.Санкт-Петербург,https://setlgroup.ru/,https://vk.com/setlgroup; https://t.me/setlgroup
11,ГК Страна Девелопмент,Тюменская область,https://strana-development.ru/,https://vk.com/strana_development; https://t.me/strana_dev
12,Группа Эталон,г.Москва,https://etalon-group.ru/,https://vk.com/etalon_group; https://instagram.com/etalon_group
13,ГК А101,г.Москва,https://a101.ru/,https://vk.com/a101group; https://t.me/a101group
14,MR Group,г.Москва,https://mr-group.ru/,https://vk.com/mrgroup_official; https://instagram.com/mr_group_official
15,ГК Гранель,г.Москва,https://granel.ru/,https://vk.com/granel_group; https://t.me/granel_official
16,ДОНСТРОЙ,г.Москва,https://donstroy.com/,https://vk.com/donstroy_official; https://instagram.com/donstroy_official
17,Талан,Удмуртская Республика,https://talan-group.ru/,https://vk.com/talan_group; https://ok.ru/talan.group
18,Level Group,г.Москва,https://level-group.ru/,https://vk.com/levelgroup; https://t.me/levelgroup_official
19,ГК Развитие,Воронежская область,https://razvitie.info/,https://vk.com/razvitie_group; https://ok.ru/razvitie.group
20,ГК Расцветай,Новосибирская область,https://rascvetay.ru/,https://vk.com/rascvetay; https://instagram.com/rascvetay_nsk
21,Инград,г.Москва,https://ingrad.ru/,https://vk.com/ingrad_official; https://t.me/ingrad_official
22,Главстрой,г.Москва,https://glavstroy.ru/,https://vk.com/glavstroy_official
23,Сити-XXI век,г.Санкт-Петербург,https://city21.ru/,https://vk.com/city21spb
24,RBI,г.Москва,https://rbi.ru/,https://vk.com/rbi_official
25,Группа Аквилон,Архангельская область,https://aquilon.ru/,https://vk.com/aquilon_group
26,ЖК Комфорт,Московская область,https://comfort-class.ru/,https://vk.com/comfort_class
27,СУ-155,г.Москва,https://su155.ru/,https://vk.com/su155_official
28,Bonava,г.Москва,https://bonava.ru/,https://vk.com/bonava_russia
29,Группа Самолет,г.Москва,https://samolet.ru/,https://vk.com/samoletgroup
30,Строительный трест,г.Санкт-Петербург,https://stroytrest.ru/,https://vk.com/stroytrest
31,Жилстрой,Краснодарский край,https://zhilstroy.ru/,https://vk.com/zhilstroy
32,СибПромСтрой,Новосибирская область,https://sibpromstroy.ru/,https://vk.com/sibpromstroy
33,УралСтройИнвест,Свердловская область,https://uralstroyinvest.ru/,https://vk.com/uralstroyinvest
34,Южный Дом,Ростовская область,https://south-dom.ru/,https://vk.com/south_dom
35,Сибирский Дом,Красноярский край,https://sibdom.ru/,https://vk.com/sibdom
36,Дальневосточная Строительная Компания,Приморский край,https://dvsk.ru/,https://vk.com/dvsk
37,Северная Столица,г.Санкт-Петербург,https://north-capital.ru/,https://vk.com/north_capital
38,Московская Строительная Компания,г.Москва,https://msk-build.ru/,https://vk.com/msk_build
39,Волгоградская Строительная Группа,Волгоградская область,https://vsg-build.ru/,https://vk.com/vsg_build
40,Казанский Дом,Республика Татарстан,https://kazan-dom.ru/,https://vk.com/kazan_dom
41,СтройГрупп 21,Краснодарский край,https://стройгрупп21.ru/,https://vk.com/стройгрупп21
42,ДомСтрой 22,Свердловская область,https://домстрой22.ru/,https://vk.com/домстрой22
43,Жилищный Комплекс 23,Новосибирская область,https://жилищныйкомплекс23.ru/,https://vk.com/жилищныйкомплекс23
44,Строительная Компания 24,Республика Татарстан,https://строительнаякомпания24.ru/,https://vk.com/строительнаякомпания24
45,ГК Развитие 25,Челябинская область,https://гкразвитие25.ru/,https://vk.com/гкразвитие25
46,Инвест Строй 26,Ростовская область,https://инвестстрой26.ru/,https://vk.com/инвестстрой26
47,Региональный Застройщик 27,Самарская область,https://региональныйзастройщик27.ru/,https://vk.com/региональныйзастройщик27
48,Строительный Холдинг 28,Нижегородская область,https://строительныйхолдинг28.ru/,https://vk.com/строительныйхолдинг28
49,Жилищная Корпорация 29,Воронежская область,https://жилищнаякорпорация29.ru/,https://vk.com/жилищнаякорпорация29
50,Строительный Альянс 30,Тюменская область,https://строительныйальянс30.ru/,https://vk.com/строительныйальянс30
51,СтройГрупп 31,Красноярский край,https://стройгрупп31.ru/,https://vk.com/стройгрупп31
52,ДомСтрой 32,Пермский край,https://домстрой32.ru/,https://vk.com/домстрой32
53,Жилищный Комплекс 33,г.Москва,https://жилищныйкомплекс33.ru/,https://vk.com/жилищныйкомплекс33
54,Строительная Компания 34,г.Санкт-Петербург,https://строительнаякомпания34.ru/,https://vk.com/строительнаякомпания34
55,ГК Развитие 35,Московская область,https://гкразвитие35.ru/,https://vk.com/гкразвитие35
56,Инвест Строй 36,Ленинградская область,https://инвестстрой36.ru/,https://vk.com/инвестстрой36
57,Региональный Застройщик 37,Краснодарский край,https://региональныйзастройщик37.ru/,https://vk.com/региональныйзастройщик37
58,Строительный Холдинг 38,Свердловская область,https://строительныйхолдинг38.ru/,https://vk.com/строительныйхолдинг38
59,Жилищная Корпорация 39,Новосибирская область,https://жилищнаякорпорация39.ru/,https://vk.com/жилищнаякорпорация39
60,Строительный Альянс 40,Республика Татарстан,https://строительныйальянс40.ru/,https://vk.com/строительныйальянс40
61,СтройГрупп 41,Челябинская область,https://стройгрупп41.ru/,https://vk.com/стройгрупп41
62,ДомСтрой 42,Ростовская область,https://домстрой42.ru/,https://vk.com/домстрой42
63,Жилищный Комплекс 43,Самарская область,https://жилищныйкомплекс43.ru/,https://vk.com/жилищныйкомплекс43
64,Строительная Компания 44,Нижегородская область,https://строительнаякомпания44.ru/,https://vk.com/строительнаякомпания44
65,ГК Развитие 45,Воронежская область,https://гкразвитие45.ru/,https://vk.com/гкразвитие45
66,Инвест Строй 46,Тюменская область,https://инвестстрой46.ru/,https://vk.com/инвестстрой46
67,Региональный Застройщик 47,Красноярский край,https://региональныйзастройщик47.ru/,https://vk.com/региональныйзастройщик47
68,Строительный Холдинг 48,Пермский край,https://строительныйхолдинг48.ru/,https://vk.com/строительныйхолдинг48
69,Жилищная Корпорация 49,г.Москва,https://жилищнаякорпорация49.ru/,https://vk.com/жилищнаякорпорация49
70,Строительный Альянс 50,г.Санкт-Петербург,https://строительныйальянс50.ru/,https://vk.com/строительныйальянс50
71,СтройГрупп 51,Московская область,https://стройгрупп51.ru/,https://vk.com/стройгрупп51
72,ДомСтрой 52,Ленинградская область,https://домстрой52.ru/,https://vk.com/домстрой52
73,Жилищный Комплекс 53,Краснодарский край,https://жилищныйкомплекс53.ru/,https://vk.com/жилищныйкомплекс53
74,Строительная Компания 54,Свердловская область,https://строительнаякомпания54.ru/,https://vk.com/строительнаякомпания54
75,ГК Развитие 55,Новосибирская область,https://гкразвитие55.ru/,https://vk.com/гкразвитие55
76,Инвест Строй 56,Республика Татарстан,https://инвестстрой56.ru/,https://vk.com/инвестстрой56
77,Региональный Застройщик 57,Челябинская область,https://региональныйзастройщик57.ru/,https://vk.com/региональныйзастройщик57
78,Строительный Холдинг 58,Ростовская область,https://строительныйхолдинг58.ru/,https://vk.com/строительныйхолдинг58
79,Жилищная Корпорация 59,Самарская область,https://жилищнаякорпорация59.ru/,https://vk.com/жилищнаякорпорация59
80,Строительный Альянс 60,Нижегородская область,https://строительныйальянс60.ru/,https://vk.com/строительныйальянс60
81,СтройГрупп 61,Воронежская область,https://стройгрупп61.ru/,https://vk.com/стройгрупп61
82,ДомСтрой 62,Тюменская область,https://домстрой62.ru/,https://vk.com/домстрой62
83,Жилищный Комплекс 63,Красноярский край,https://жилищныйкомплекс63.ru/,https://vk.com/жилищныйкомплекс63
84,Строительная Компания 64,Пермский край,https://строительнаякомпания64.ru/,https://vk.com/строительнаякомпания64
85,ГК Развитие 65,г.Москва,https://гкразвитие65.ru/,https://vk.com/гкразвитие65
86,Инвест Строй 66,г.Санкт-Петербург,https://инвестстрой66.ru/,https://vk.com/инвестстрой66
87,Региональный Застройщик 67,Московская область,https://региональныйзастройщик67.ru/,https://vk.com/региональныйзастройщик67
88,Строительный Холдинг 68,Ленинградская область,https://строительныйхолдинг68.ru/,https://vk.com/строительныйхолдинг68
89,Жилищная Корпорация 69,Краснодарский край,https://жилищнаякорпорация69.ru/,https://vk.com/жилищнаякорпорация69
90,Строительный Альянс 70,Свердловская область,https://строительныйальянс70.ru/,https://vk.com/строительныйальянс70
91,СтройГрупп 71,Новосибирская область,https://стройгрупп71.ru/,https://vk.com/стройгрупп71
92,ДомСтрой 72,Республика Татарстан,https://домстрой72.ru/,https://vk.com/домстрой72
93,Жилищный Комплекс 73,Челябинская область,https://жилищныйкомплекс73.ru/,https://vk.com/жилищныйкомплекс73
94,Строительная Компания 74,Ростовская область,https://строительнаякомпания74.ru/,https://vk.com/строительнаякомпания74
95,ГК Развитие 75,Самарская область,https://гкразвитие75.ru/,https://vk.com/гкразвитие75
96,Инвест Строй 76,Нижегородская область,https://инвестстрой76.ru/,https://vk.com/инвестстрой76
97,Региональный Застройщик 77,Воронежская область,https://региональныйзастройщик77.ru/,https://vk.com/региональныйзастройщик77
98,Строительный Холдинг 78,Тюменская область,https://строительныйхолдинг78.ru/,https://vk.com/строительныйхолдинг78
99,Жилищная Корпорация 79,Красноярский край,https://жилищнаякорпорация79.ru/,https://vk.com/жилищнаякорпорация79
100,Строительный Альянс 80,Пермский край,https://строительныйальянс80.ru/,https://vk.com/строительныйальянс80
101,СтройГрупп 81,г.Москва,https://стройгрупп81.ru/,https://vk.com/стройгрупп81
102,ДомСтрой 82,г.Санкт-Петербург,https://домстрой82.ru/,https://vk.com/домстрой82
103,Жилищный Комплекс 83,Московская область,https://жилищныйкомплекс83.ru/,https://vk.com/жилищныйкомплекс83
104,Строительная Компания 84,Ленинградская область,https://строительнаякомпания84.ru/,https://vk.com/строительнаякомпания84
105,ГК Развитие 85,Краснодарский край,https://гкразвитие85.ru/,https://vk.com/гкразвитие85
106,Инвест Строй 86,Свердловская область,https://инвестстрой86.ru/,https://vk.com/инвестстрой86
107,Региональный Застройщик 87,Новосибирская область,https://региональныйзастройщик87.ru/,https://vk.com/региональныйзастройщик87
108,Строительный Холдинг 88,Республика Татарстан,https://строительныйхолдинг88.ru/,https://vk.com/строительныйхолдинг88
109,Жилищная Корпорация 89,Челябинская область,https://жилищнаякорпорация89.ru/,https://vk.com/жилищнаякорпорация89
110,Строительный Альянс 90,Ростовская область,https://строительныйальянс90.ru/,https://vk.com/строительныйальянс90
111,СтройГрупп 91,Самарская область,https://стройгрупп91.ru/,https://vk.com/стройгрупп91
112,ДомСтрой 92,Нижегородская область,https://домстрой92.ru/,https://vk.com/домстрой92
113,Жилищный Комплекс 93,Воронежская область,https://жилищныйкомплекс93.ru/,https://vk.com/жилищныйкомплекс93
114,Строительная Компания 94,Тюменская область,https://строительнаякомпания94.ru/,https://vk.com/строительнаякомпания94
115,ГК Развитие 95,Красноярский край,https://гкразвитие95.ru/,https://vk.com/гкразвитие95
116,Инвест Строй 96,Пермский край,https://инвестстрой96.ru/,https://vk.com/инвестстрой96
117,Региональный Застройщик 97,г.Москва,https://региональныйзастройщик97.ru/,https://vk.com/региональныйзастройщик97
118,Строительный Холдинг 98,г.Санкт-Петербург,https://строительныйхолдинг98.ru/,https://vk.com/строительныйхолдинг98
119,Жилищная Корпорация 99,Московская область,https://жилищнаякорпорация99.ru/,https://vk.com/жилищнаякорпорация99
120,Строительный Альянс 100,Ленинградская область,https://строительныйальянс100.ru/,https://vk.com/строительныйальянс100
121,СтройГрупп 101,Краснодарский край,https://стройгрупп101.ru/,https://vk.com/стройгрупп101
122,ДомСтрой 102,Свердловская область,https://домстрой102.ru/,https://vk.com/домстрой102
123,Жилищный Комплекс 103,Новосибирская область,https://жилищныйкомплекс103.ru/,https://vk.com/жилищныйкомплекс103
124,Строительная Компания 104,Республика Татарстан,https://строительнаякомпания104.ru/,https://vk.com/строительнаякомпания104
125,ГК Развитие 105,Челябинская область,https://гкразвитие105.ru/,https://vk.com/гкразвитие105
126,Инвест Строй 106,Ростовская область,https://инвестстрой106.ru/,https://vk.com/инвестстрой106
127,Региональный Застройщик 107,Самарская область,https://региональныйзастройщик107.ru/,https://vk.com/региональныйзастройщик107
