Место,Название,Город/Регион,Сайт,Социальные сети
1,ГК Самолет,Москва,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
2,ПИК,Москва,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
3,ГК ТОЧНО,Краснодарский край,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
4,DOGMA,Краснодарский край,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
5,ГК ФСК,Москва,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
6,Группа ЛСР,Санкт-Петербург,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
7,Брусника,Свердловская область,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
8,ГК ССК,Краснодарский край,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
9,ГК ЮгСтройИнвест,Ставропольский край,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
10,Холдинг Setl Group,Санкт-Петербург,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
11,ГК Страна Девелопмент,Тюменская область,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
12,Группа Эталон,Москва,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
13,ГК А101,Москва,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
14,MR Group,Москва,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
15,ГК Гранель,Москва,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
16,ДОНСТРОЙ,Москва,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
17,Талан,Удмуртская Республика,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
18,Level Group,Москва,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
19,ГК Развитие,Воронежская область,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
20,ГК Расцветай,Новосибирская область,Не найден,https://t.me/+kf4d9SlCRpRiMGQy; https://vk.com/erzrf_ru
